"","number","snippet","type_of_material"
"8632",8632,"","Article"
"8633",8633,"","Article"
"8634",8634,"","Article"
"8635",8635,"","Article"
"8636",8636,"PITTSBURGH, Pa., Nov. 26.--Coach Glenn Warner was taken off his feet today when he learned that Quarter Back Dehart and Right half Back Jim Morrow had been debarred from all athletics by the faculty of the University of Pittsburgh on account of be...","Article"
"8637",8637,"","Article"
"8638",8638,"","Article"
"8639",8639,"","Article"
"8640",8640,"","Article"
"8641",8641,"","Article"
"8642",8642,"","Article"
"8643",8643,"PHILADELPHIA, Pa., Nov. 26.-- While neither the Pennsylvania nor Cornell football squad is within reach of the public here tonight, the old city is wrapped up in its usual Thanksgiving Eve spirit.  ","Article"
"8644",8644,"","Article"
"8645",8645,"","Article"
"8646",8646,"Albertus arrested in Detroit","Article"
"8647",8647,"Mahmoud Pasha Suliman and Ibrahim Pasha arrested for returning to leave Cairo on order of Field Marshal Allenby","Article"
"8648",8648,"drive will begin Dec. 8","Article"
"8649",8649,"That there is a strong revival of interest in harness racers was indicated at the opening of the Old Glory sale at Madison Square Garden yesterday when the prices brought by the horses offered at auction set a new high average for the last ten yea...","Article"
"8650",8650,"death","Obituary"
"8651",8651,"foodstuffs exported in Oct","Article"
"8652",8652,"12 men fined for lynching F. Foukal last Spring","Article"
"8653",8653,"Indicates in address to temperance delegation intention to introduce liquor control bill","Article"
"8654",8654,"Dept of Commerce report for Oct","Article"
"8655",8655,"A new record for prices was established yesterday at the Old Glory sale which is being conducted this week at Madison Square Garden when twentyone yearling trotters by J. Malcomb Forbes, 2:08, brought an average of nearly $1,700, This is said to b...","Article"
"8656",8656,"WASHINGTON, Nov. 24.--A definite  program, sanctioned by the Government, will be placed before the operators and miners of the bituminous coal fields after tomorrow's Cabinet meeting in the event an amicable settlement has not been reached in the ...","Front Page"
"8657",8657,"WASHINGTON, Nov. 25.-Unconfirmed reports were current in Washington tonight that in the event of the refusal of the Carranza Government to comply with the demand for the release of American Consular Agent William O. Jenkins, this","Front Page"
"8658",8658,"Clemenceau replies to German demand for return of those held in France","Article"
"8659",8659,"hearing on application for order permanently restraining Gov Frazier begun","Article"
"8660",8660,"Marion Sidell sues for breach of promise","Article"
"8661",8661,"opposition of Mary G. Hay to his re-election disqualifies her as member of Republican Natl Com, Natl Assoc Opposed to Woman Suffrage says in message to W. H. Hays","Article"
"8662",8662,"official statement by Treasury Dept","Front Page"
"8663",8663,"given permission to sign by Supreme Council","Article"
"8664",8664,"""Something must be done to whip these elements into line,"" said one of the delegates to the convention of the new Labor Party at Chicago. "" Without harmony we will disintegrate.""","Editorial"
"8665",8665,"Galli-Curci, Amelita, songs","Article"
"8666",8666,"ROME, Nov. 24.-- ""I am sure d'Annunzio had already planned his expedition to Zara when I was in Flume,"" said Mrs. John Adams Drake of New York, President of the American Free Milk Relief for Italy, speaking to THE NEW...","Article"
"8667",8667,"Condemns covenant","Letter"
"8668",8668,"The General Education Board, of which John D. Rockefeller is the founder, has appropriated $4,000,000 to Vanderbilt University for the reorganization of its medical school along modern lines, according to the announcement yesterday of Chancellor K...","Article"
"8669",8669,"estate","Article"
"8670",8670,"Prosecuticn of the fight against Bolshevism and other virulent forms of radicalism was continued through four different channels in New York yesterday, when a great amount of evidence was gathered.","Front Page"
"8671",8671,"death","Obituary"
"8672",8672,"Several dances took place last evening for the season's debutantes.","Article"
"8673",8673,"U S Court of Appeals affirms judgment against it in favor of Equitable Trust Co of N Y","Article"
"8674",8674,"ill","Article"
"8675",8675,"Handicap tourney","Article"
"8676",8676,"A suggestion that now would be a good time for the United States to dispose of the 90,000,000 silver dollars which it still has authority to sell under the Pittman act, is made by George E. Roberts, Vice President of the National City Bank, in an ...","Article"
"8677",8677,"After struggling with adverse neighborhood conditions for more than ten years, the vestry of the St. Andrew's ' Protestant Episcopal Church announced last night that it had decided to abandon the edifice at Fifth Avenue and 127th Street, and to co...","Article"
"8678",8678,"Reduction of expenditures caused by cancellation of contracts since armistice","Article"
"8679",8679,"gives purse to A. C. Hardy, employe celebrating 70th birthday","Article"
"8680",8680,"held in bond","Article"
"8681",8681,"","Article"
"8682",8682,"","Article"
"8683",8683,"","Article"
"8684",8684,"","Article"
"8685",8685,"","Article"
"8686",8686,"C.C.N.Y.'s formal petition for the reinstatement of football was handed yesterday to the Faculty Athletic Committee for action.  ","Article"
"8687",8687,"","Article"
"8688",8688,"For the second time in seventeen years Brown and Columbia, will meet on the football gridiron when the two elevens clash this afternoon at 2 o'clock on South Field in a Thanksgiving Day battle. It will be the Rhode island. team's first invasion of...","Article"
"8689",8689,"","Article"
"8690",8690,"","Article"
"8691",8691,"34th St subway loop considered","Article"
"8692",8692,"""The most deadly and most dangerous assortment of explosives and bomb ingredients I have peen in many a year,"" was the description given yesterday by Inspector Owen Eagan of the Bureau of Combustibles of the quantity of TNT, the abbreviated name f...","Article"
"8693",8693,"Edward Aspinwall Kemp, son of the late William Kemp, and partner in Lanman  Kemp, wholesale drugs, at 130 Water Street, filed an answer in the Supreme Court yesterday to the suit of Mrs. Josephine DeMott Kemp for a separation on the ground of non-...","Article"
"8694",8694,"injury to arm will keep him out of ring for a month","Article"
"8695",8695,"resigns as Chicago Supt of Schools","Article"
"8696",8696,"Thanksgiving speech at Columbia Univ; calls for war on unrest","Article"
"8697",8697,"Rear Admiral JOSEPH STRAUSS and his intrepid force of 3,600 mine sweepers were honored yesterday in this city for doing an ugly and dangerons job in the North Sea so well, in the face of great difficulties and on stormy seas, that the prestige of....","Editorial"
"8698",8698,"Chancellor Brown tells how fund is to be spent","Article"
"8699",8699,"Our ""wise and pious ancestors,"" asthe Massachusetts Constitution says, who ordained Thanksgiving and Fast Day and, with the Massachusetts Constitution, the essential modern ideas of American policy, had, as a rule, mighty little reason for being t...","Editorial"
"8700",8700,"In compliance with the request of Governor Alfred E. Smith, District Attorney Swann appointed George Gordon Battle a Special Assistant District Attorney yesterday to act as legal adviser to the Extraordinary Grand Jury...","Article"
"8701",8701,"","Marriage Announcement"
"8702",8702,"","Article"
"8703",8703,"","Article"
"8704",8704,"","Article"
"8705",8705,"","Article"
"8706",8706,"","Article"
"8707",8707,"","Obituary"
"8708",8708,"","Article"
"8709",8709,"ROME, Nov. 26.--As the day for the opening session of the Twenty-fifth Legislature approaches the demands for permits to attend it become more insistent and numerous.  ","Article"
"8710",8710,"The team of American amateur boxers who are touring Scandinavian countries encountered greater success in their second tournament, held in Stockholm, than in their first foreign contests, which were conducted in Copenhagen.","Article"
"8711",8711,"has painting accepted by Paris Autumn Salon","Article"
"8712",8712,"death","Obituary"
"8713",8713,"asks distributers to arrange plan for sale on cash and carry basis to reduce price","Article"
"8714",8714,"BOWIE, Md., Nov. 24.--Although a high average for the number of favorites winning has been established during the present, meeting at Bowie, the climax was reached today when the public choices took complete command of the card. One after another,...","Article"
